[ 1.08883149],hour+A
[ 0.89185466],hour_^5
[ 0.83401695],4h
[ 0.79707187],3h
[ 0.76109763],2014
[ 0.72617691],8h
[ 0.70151955],5h
[ 0.67633454],B1
[ 0.65744894],2h
[ 0.64131097],Jan
[ 0.62765113],Feb
[ 0.61997724],0h
[ 0.61220698],9h
[ 0.60454567],7h
[ 0.5985503],Mar
[ 0.59540088],15h
[ 0.59203714],14h
[ 0.58948249],Apr
[ 0.58712373],6h
[ 0.58475916],Dec
[ 0.58081406],A_^3
[ 0.57927906],18h
[ 0.57744186],17h
[ 0.57655701],AC
[ 0.57554693],C
[ 0.57449446],hour*A
[ 0.57366733],1h
[ 0.57306372],sumEF
[ 0.57247143],Fri
[ 0.57190318],Oct
[ 0.57139379],2013
[ 0.57090383],CE
[ 0.57044952],19h
[ 0.57005841],B4
[ 0.56977123],Mon
[ 0.56945866],Tue
[ 0.56917886],EF
[ 0.56891049],12h
[ 0.56872158],E_exp
[ 0.56849751],E
[ 0.56826396],ACF
[ 0.56813648],DE
[ 0.56800669],CD
[ 0.56788329],16h
[ 0.56776448],May
[ 0.56761843],Sep
[ 0.56739966],E_^2
[ 0.5674594],hour
[ 0.56754459],Thu
[ 0.56729329],Aug
